year,month,mean_eur_mwh,min_eur_mwh,max_eur_mwh,rows
2026,6,95.58999999722222,19.152144,144.88259,360
2026,7,93.94999999731183,21.712526,136.226753,744
2026,8,92.86000000537634,22.217879,140.918264,744
2026,9,105.48000000138889,28.599006,159.774213,720
2026,10,116.68000000402685,40.238339,165.027359,745
2026,11,137.99999999861112,89.953494,182.723995,720
2026,12,136.57000002553764,101.407194,180.612743,744
2027,1,128.68246158198926,89.731499,169.967802,744
2027,2,141.07089798511905,101.824409,176.655936,672
2027,3,116.5989564306864,72.343137,166.612553,743
2027,4,81.2163206125,10.557075,174.152497,720
2027,5,73.66602314784947,10.473955,141.436027,744
2027,6,62.70012172361111,9.553347,99.672649,720
2027,7,74.68439848655915,27.502965,111.435886,744
2027,8,61.8395564610215,21.068606,104.487081,744
2027,9,90.39724635555557,40.939619,125.943707,720
2027,10,89.92563982684564,43.856988,121.89987,745
2027,11,117.20826484861112,71.773244,153.028409,720
2027,12,115.04968753494623,81.063035,148.785378,744
2028,1,107.5186276236559,80.397564,143.495869,744
2028,2,125.44146604166666,99.827146,153.638456,696
2028,3,102.26993041722746,63.533225,147.691944,743
2028,4,51.73464694027778,11.592773,100.438371,720
2028,5,43.3927594327957,6.912036,70.659678,744
2028,6,39.600991934722224,3.968411,70.392651,720
2028,7,62.84165252419355,13.200378,90.503658,744
2028,8,47.26858246639785,6.88786,79.513781,744
2028,9,76.79044086527779,23.974427,99.382098,720
2028,10,85.64644471409396,43.901172,121.149264,745
2028,11,112.74283658055556,79.552363,142.385303,720
2028,12,106.20724660752687,84.493147,134.510798,744
2029,1,94.8961025188172,77.587061,117.901706,744
2029,2,92.38653623660714,74.742828,110.740347,672
2029,3,78.2205195410498,56.266779,106.484345,743
2029,4,64.49973873194445,18.490336,103.338862,720
2029,5,54.0554108360215,12.610788,87.663136,744
2029,6,49.40101501666667,11.428492,69.841428,720
2029,7,50.86713415053764,11.721655,72.619983,744
2029,8,56.99671457526882,13.758353,82.727071,744
2029,9,69.96160658472223,24.027165,90.05651,720
2029,10,76.06511107785235,41.489784,102.002254,745
2029,11,91.15508183333334,69.669812,113.847546,720
2029,12,85.87460584408602,70.924719,104.322864,744
2030,1,90.99610152150537,74.4269,107.605801,744
2030,2,88.59244723214286,72.416819,106.632316,672
2030,3,74.95251945356662,51.91487,101.651643,743
2030,4,61.66228051527778,16.144264,91.781293,720
2030,5,51.64740076478494,11.975262,84.382577,744
2030,6,47.18537515138889,10.720182,68.353138,720
2030,7,48.68601512231183,10.946444,70.043743,744
2030,8,54.46181541666667,12.817689,80.682407,744
2030,9,66.91751382638888,21.251985,86.866237,720
2030,10,72.9639200885906,38.735496,98.654638,745
2030,11,87.41028229444444,67.196197,109.725725,720
2030,12,82.36096421774194,66.771323,105.63188,744
